cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_11908,30.67975,75.4366,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.78,5.78,338.85,1,1,1,Transient,low,N21,49.208,['FIRMS_N21_20260516_0744_30.6797N_75.4366E']
EVENT_11909,30.67846,75.47066,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.11,7.11,340.28,1,1,1,Transient,low,N21,46.381,['FIRMS_N21_20260516_0744_30.6785N_75.4707E']
EVENT_1191,30.45015,75.9443,2025-05-06 07:23,2025-05-06 07:23,0.0,1,3.94,3.94,333.08,1,1,1,Transient,nominal,N20,47.513,['FIRMS_N20_20250506_0723_30.4502N_75.9443E']
EVENT_11910,30.73416,75.76022,2026-05-16 07:44,2026-05-16 07:44,0.0,1,9.79,9.79,340.9,1,1,1,Transient,low,N21,20.538,['FIRMS_N21_20260516_0744_30.7342N_75.7602E']
EVENT_11911,30.67491,75.595025,2026-05-16 07:44,2026-05-16 07:44,0.0,2,7.94,8.5,343.09,2,2,1,Transient,nominal,N21,36.587,"['FIRMS_N21_20260516_0744_30.6749N_75.5942E', 'FIRMS_N21_20260516_0744_30.6749N_75.5959E']"
EVENT_11912,30.65285,75.500365,2026-05-16 07:44,2026-05-16 07:44,0.0,2,9.81,10.23,339.31,2,2,1,Transient,low,N21,45.394,"['FIRMS_N21_20260516_0744_30.6526N_75.4996E', 'FIRMS_N21_20260516_0744_30.6531N_75.5011E']"
EVENT_11913,30.743363,75.972,2026-05-16 07:44,2026-05-16 07:44,0.0,3,13.94,20.42,344.92,3,3,1,Transient,nominal,N21,16.297,"['FIRMS_N21_20260516_0744_30.7438N_75.9724E', 'FIRMS_N21_20260516_0744_30.7445N_75.9688E', 'FIRMS_N21_20260516_0744_30.7418N_75.9748E']"
EVENT_11914,30.74083,75.96973,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.25,7.25,340.62,1,1,1,Transient,low,N21,16.461,['FIRMS_N21_20260516_0744_30.7408N_75.9697E']
EVENT_11915,30.67137,75.70139,2026-05-16 07:44,2026-05-16 07:44,0.0,1,12.5,12.5,346.51,1,1,1,Transient,nominal,N21,29.503,['FIRMS_N21_20260516_0744_30.6714N_75.7014E']
EVENT_11916,30.6637,75.68139,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.76,5.76,339.06,1,1,1,Transient,low,N21,31.393,['FIRMS_N21_20260516_0744_30.6637N_75.6814E']
EVENT_11917,30.6969,75.85779,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.49,7.49,343.89,1,1,1,Transient,low,N21,20.25,['FIRMS_N21_20260516_0744_30.6969N_75.8578E']
EVENT_11918,30.62988,75.52377,2026-05-16 07:44,2026-05-16 07:44,0.0,1,12.49,12.49,348.44,1,1,1,Transient,nominal,N21,45.043,['FIRMS_N21_20260516_0744_30.6299N_75.5238E']
EVENT_11919,30.6309,75.52909,2026-05-16 07:44,2026-05-16 07:44,0.0,1,12.49,12.49,340.63,1,1,1,Transient,low,N21,44.57,['FIRMS_N21_20260516_0744_30.6309N_75.5291E']
EVENT_1192,30.4906,76.05493,2025-05-06 07:23,2025-05-06 07:23,0.0,1,4.75,4.75,334.42,1,1,1,Transient,nominal,N20,45.352,['FIRMS_N20_20250506_0723_30.4906N_76.0549E']
EVENT_11920,30.73118,76.06194,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.09,6.09,341.0,1,1,1,Transient,low,N21,22.399,['FIRMS_N21_20260516_0744_30.7312N_76.0619E']
EVENT_11921,30.73584,76.08702,2026-05-16 07:44,2026-05-16 07:44,0.0,1,9.06,9.06,346.15,1,1,1,Transient,nominal,N21,23.787,['FIRMS_N21_20260516_0744_30.7358N_76.0870E']
EVENT_11922,30.76259,76.27251,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.11,7.11,338.49,1,1,1,Transient,low,N21,37.864,['FIRMS_N21_20260516_0744_30.7626N_76.2725E']
EVENT_11923,30.70515,75.98389,2026-05-16 07:44,2026-05-16 07:44,0.0,1,25.85,25.85,347.91,1,1,1,Transient,nominal,N21,20.637,['FIRMS_N21_20260516_0744_30.7051N_75.9839E']
EVENT_11924,30.75006,76.38802,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.7,6.7,342.74,1,1,1,Transient,low,N21,48.791,['FIRMS_N21_20260516_0744_30.7501N_76.3880E']
